ST	abcZ	adk	aroE	fumC	gdh	pdhC	pgm	clonal_complex
193	46	28	56	7	6	57	5	unassigned CC for 193
194	47	5	57	58	5	40	48	unassigned CC for 194
195	48	3	58	31	21	59	49	unassigned CC for 195
196	12	2	2	8	3	21	16	CC231
197	13	5	6	1	8	8	2	unassigned CC for 197
198	5	4	17	15	14	7	12	CC198
199	5	4	38	15	30	40	13	CC1136
200	7	3	15	7	31	41	31	CC181
201	5	4	4	15	14	7	12	CC198
202	34	5	9	17	32	17	2	unassigned CC for 202
203	1	3	2	1	3	2	3	CC5
204	4	6	12	17	37	6	12	unassigned CC for 204
205	20	6	9	5	9	9	6	CC41/44
206	12	6	9	17	9	6	9	CC41/44
207	28	6	9	9	9	6	9	CC41/44
208	9	6	36	17	9	6	9	CC41/44
209	9	6	37	17	9	6	9	CC41/44
210	2	16	12	11	8	39	36	CC254
211	2	3	4	8	8	4	6	CC11
212	8	26	9	24	26	20	18	CC212
213	7	5	1	13	36	53	15	CC213
214	2	3	4	3	48	4	6	CC11
215	9	6	45	35	8	11	2	unassigned CC for 215
216	8	22	4	33	33	24	27	CC106
217	20	6	18	51	11	51	20	unassigned CC for 217
218	16	2	6	25	17	21	22	CC53
219	25	23	18	16	8	18	9	CC376
220	2	20	35	17	5	15	21	unassigned CC for 220
221	2	2	31	8	13	52	16	CC231
222	2	16	12	3	3	60	7	CC254
223	12	5	15	32	21	13	35	CC116
224	44	6	9	9	39	6	7	CC41/44
225	12	5	15	54	8	21	20	CC865
226	12	27	6	3	8	18	9	CC226
227	12	2	6	39	9	22	8	unassigned CC for 227
228	8	5	6	16	5	17	2	CC549
229	12	2	15	5	13	15	10	CC37
230	4	10	5	4	6	55	8	CC32
231	2	2	31	8	13	21	16	CC231
232	2	5	9	9	9	18	8	unassigned CC for 232
233	1	5	18	3	9	15	9	CC292
234	2	2	9	36	40	6	51	unassigned CC for 234
235	2	18	27	55	24	11	10	unassigned CC for 235
236	2	3	10	19	10	1	2	CC18
237	1	5	18	13	41	24	53	CC292
238	2	3	51	21	15	17	54	unassigned CC for 238
239	7	4	10	26	10	18	16	unassigned CC for 239
240	20	6	52	56	8	18	55	unassigned CC for 240
241	2	2	6	17	16	18	8	CC167
242	12	5	6	39	9	22	8	unassigned CC for 242
243	6	5	34	17	5	24	17	CC174
244	6	5	53	1	42	8	54	unassigned CC for 244
245	9	5	6	5	45	8	20	unassigned CC for 245
246	12	5	9	32	21	13	8	CC116
247	2	3	4	5	8	4	6	CC11
248	3	5	4	37	21	18	21	CC92
249	12	7	4	8	46	21	16	unassigned CC for 249
250	2	2	9	36	9	6	21	unassigned CC for 250
251	3	5	18	63	5	6	57	unassigned CC for 251
252	9	6	4	9	9	6	57	CC41/44
253	25	10	18	16	8	13	58	CC376
254	2	16	12	11	3	60	7	CC254
255	3	7	4	3	8	18	21	CC92
256	9	2	9	9	47	6	59	CC41/44
257	12	17	2	39	9	6	8	unassigned CC for 257
258	2	2	9	36	9	61	51	unassigned CC for 258
259	4	10	5	40	6	3	8	CC32
260	9	6	4	9	6	6	9	CC41/44
261	50	2	6	25	17	25	22	CC53
262	2	4	9	16	28	8	60	unassigned CC for 262
263	2	17	35	17	5	15	21	unassigned CC for 263
264	4	10	5	4	6	62	8	CC32
265	51	10	5	4	6	3	8	CC32
266	4	10	5	64	6	3	8	CC32
267	4	10	5	4	6	60	8	CC32
268	4	10	60	4	3	3	8	CC32
269	4	10	15	9	8	11	9	CC269
270	12	2	59	5	13	21	10	CC37
271	8	3	15	61	44	2	3	unassigned CC for 271
272	11	5	18	62	5	24	16	CC22
273	49	2	4	8	13	21	53	CC231
274	3	6	49	5	9	6	9	CC41/44
275	4	10	2	5	38	11	9	CC269
276	3	10	48	9	9	10	12	unassigned CC for 276
277	42	26	46	24	34	20	17	CC282
278	4	10	47	17	6	2	12	CC35
279	8	7	6	17	9	18	8	CC167
280	10	6	9	24	9	41	9	CC41/44
281	4	5	11	9	9	10	9	unassigned CC for 281
282	42	26	46	24	2	20	17	CC282
283	4	10	15	9	8	11	17	CC269
284	20	6	63	9	9	11	2	unassigned CC for 284
285	8	3	4	3	51	5	6	CC11
286	43	5	9	60	3	19	15	unassigned CC for 286
287	27	6	9	5	8	6	12	CC41/44
288	11	5	6	5	5	24	2	unassigned CC for 288
289	11	5	18	17	5	24	16	CC22
290	8	3	5	4	1	3	8	CC32
291	1	2	9	9	9	6	10	CC41/44
292	1	5	18	3	41	15	9	CC292
293	1	5	2	3	41	15	9	CC292
294	2	3	15	36	9	63	9	unassigned CC for 294
295	2	5	62	40	3	8	10	unassigned CC for 295
296	2	16	12	11	3	18	54	CC254
297	2	20	2	17	5	15	21	unassigned CC for 297
298	2	29	4	26	26	65	53	unassigned CC for 298
299	2	29	36	26	26	18	20	unassigned CC for 299
300	2	29	9	26	26	18	20	unassigned CC for 300
301	2	29	34	26	26	18	20	unassigned CC for 301
302	2	34	12	11	3	18	7	CC254
303	3	6	9	9	9	6	9	CC41/44
304	3	7	4	38	8	18	8	CC92
305	4	10	2	9	8	11	9	CC269
306	8	5	2	17	26	68	2	CC865
307	8	6	6	17	26	17	2	CC549
308	8	6	12	68	26	17	2	CC549
309	8	30	6	2	5	17	2	CC549
310	9	2	6	3	49	21	61	unassigned CC for 310
311	9	2	6	17	6	13	15	unassigned CC for 311
312	9	5	6	40	6	8	18	CC334
313	9	5	18	55	41	15	9	CC292
314	9	6	61	9	9	6	9	CC41/44
315	9	6	6	9	9	6	9	CC41/44
316	9	6	34	9	8	11	9	CC41/44
317	9	6	15	9	9	6	9	CC41/44
318	9	6	9	5	9	6	9	CC41/44
319	9	10	9	9	8	6	9	CC41/44
320	11	5	18	16	5	24	2	CC22
321	11	5	18	56	5	24	2	CC22
322	11	5	36	5	50	15	21	unassigned CC for 322
323	11	5	18	69	50	15	21	CC22
324	11	5	6	69	50	15	21	unassigned CC for 324
325	11	5	9	69	50	15	21	unassigned CC for 325
326	11	5	18	26	9	24	2	CC22
327	11	6	9	9	9	6	9	CC41/44
328	12	2	34	5	13	21	10	CC37
329	12	2	9	5	13	21	10	CC37
330	12	5	34	5	5	38	17	CC174
331	12	5	2	5	5	38	17	unassigned CC for 331
332	12	5	35	5	5	38	17	unassigned CC for 332
333	12	5	6	5	5	38	17	unassigned CC for 333
334	14	5	6	9	3	8	18	CC334
335	2	3	7	2	9	15	2	CC8
336	4	5	2	9	21	11	20	unassigned CC for 336
337	12	6	9	17	9	73	9	CC41/44
338	2	29	6	17	13	21	2	unassigned CC for 338
339	2	3	4	3	8	4	52	CC11
340	3	6	19	5	3	6	9	CC41/44
341	8	25	7	17	52	26	49	CC1157
342	4	10	64	70	38	11	9	CC269
343	4	10	5	4	6	3	2	CC32
344	7	5	2	72	3	75	21	unassigned CC for 344
345	67	5	6	3	3	11	13	unassigned CC for 345
346	1	3	15	13	9	63	9	unassigned CC for 346
347	2	16	12	11	3	40	7	CC254
348	2	18	31	8	13	21	16	CC231
349	2	29	2	17	26	21	9	unassigned CC for 349
350	2	29	34	9	9	65	53	unassigned CC for 350
351	2	29	2	26	26	65	53	unassigned CC for 351
352	4	10	2	5	8	11	9	CC269
353	4	10	2	40	8	11	9	CC269
354	4	10	15	5	8	11	9	CC269
355	4	10	2	5	8	15	9	CC269
356	6	7	4	56	26	18	9	CC175
357	8	5	6	17	26	17	2	CC549
358	9	6	9	3	8	6	9	CC41/44
359	9	6	70	9	9	6	9	CC41/44
360	11	5	18	17	26	5	21	CC22
361	12	5	2	25	57	13	15	unassigned CC for 361
362	12	16	18	43	3	37	7	unassigned CC for 362
363	13	3	2	25	3	11	9	CC364
364	13	3	52	13	3	11	9	CC364
365	13	3	2	9	3	11	9	CC364
366	13	6	6	13	3	5	9	CC364
367	21	18	6	37	5	15	9	unassigned CC for 367
368	21	21	2	35	8	13	62	unassigned CC for 368
369	25	5	6	16	8	18	9	CC226
370	25	5	18	16	5	18	9	unassigned CC for 370
371	25	5	18	16	8	18	9	CC376
372	25	5	12	16	8	18	18	unassigned CC for 372
373	25	5	18	16	8	18	17	unassigned CC for 373
374	25	10	18	9	8	6	16	CC376
375	25	10	6	9	8	6	9	CC376
376	25	10	18	9	8	6	9	CC376
377	25	10	34	9	8	6	9	CC376
378	25	10	18	9	53	6	9	CC376
379	25	10	18	37	54	13	9	CC376
380	25	10	18	13	8	6	9	CC376
381	25	10	18	2	8	6	9	CC376
382	25	16	48	13	8	6	9	CC376
383	25	19	18	16	8	18	9	CC376
384	46	5	2	7	15	20	5	CC750
385	52	6	9	65	9	6	20	CC41/44
386	52	6	9	9	55	6	9	CC41/44
387	53	7	4	38	8	18	2	CC92
388	57	2	2	35	6	68	12	unassigned CC for 388
389	57	2	52	35	6	68	12	unassigned CC for 389
390	60	6	9	9	9	1	9	CC41/44
391	62	5	34	17	5	38	17	CC174
392	68	30	6	2	5	17	2	unassigned CC for 392
393	4	35	15	9	8	11	9	CC269
394	2	20	18	17	5	18	21	unassigned CC for 394
395	8	6	6	68	56	17	2	CC549
396	8	30	18	2	5	17	2	unassigned CC for 396
397	10	2	15	40	3	11	9	unassigned CC for 397
398	12	3	6	13	11	10	30	unassigned CC for 398
399	12	5	34	9	5	38	17	CC174
400	12	16	2	43	3	37	7	unassigned CC for 400
401	25	10	18	9	8	6	54	CC376
402	64	10	18	21	8	13	9	CC376
403	13	29	4	56	3	11	9	CC364
404	9	6	25	8	67	6	9	CC41/44
405	10	5	18	79	11	9	17	CC23
406	13	5	6	40	66	8	18	CC334
407	25	10	18	35	8	13	16	CC376
408	4	10	11	17	21	10	12	CC35
409	9	6	9	9	9	64	9	CC41/44
410	66	6	9	9	9	6	9	CC41/44
411	4	10	5	40	61	3	8	CC32
412	64	6	9	26	9	22	9	CC41/44
413	13	3	15	40	3	11	62	CC364
414	3	6	9	5	9	6	70	CC41/44
415	13	5	6	40	59	8	18	CC334
416	1	5	91	9	58	93	9	unassigned CC for 416
417	2	16	12	5	3	40	7	CC254
418	2	16	12	11	3	21	16	CC254
419	2	20	90	87	5	15	21	unassigned CC for 419
420	2	55	2	26	26	65	53	unassigned CC for 420
421	4	2	1	8	9	21	16	CC231
422	4	5	9	25	50	18	21	unassigned CC for 422
423	4	5	82	56	5	24	2	unassigned CC for 423
424	4	21	2	35	8	13	62	unassigned CC for 424
425	6	3	86	25	22	87	75	unassigned CC for 425
426	6	7	4	56	16	18	8	CC175
427	8	5	9	17	26	32	2	CC865
428	8	5	6	9	26	68	2	CC549
429	8	5	15	83	13	68	2	CC865
430	8	5	4	16	8	18	2	CC865
431	8	5	6	17	11	17	2	CC549
432	8	5	6	17	26	68	2	CC549
433	8	10	18	2	8	6	9	CC376
434	8	16	88	13	3	5	17	unassigned CC for 434
435	8	18	52	37	5	15	9	unassigned CC for 435
436	9	6	37	9	9	6	9	CC41/44
437	9	6	9	17	9	6	9	CC41/44
438	9	6	89	9	3	65	9	CC41/44
439	11	5	18	9	11	81	17	CC23
440	11	5	6	16	6	15	2	unassigned CC for 440
441	12	3	15	16	9	63	17	unassigned CC for 441
442	12	5	34	5	67	38	17	unassigned CC for 442
443	12	10	18	9	8	6	16	CC376
444	12	16	12	43	3	37	7	CC254
445	13	3	2	13	5	18	9	CC364
446	21	18	6	37	8	15	20	unassigned CC for 446
447	25	5	18	16	5	24	2	unassigned CC for 447
448	63	16	12	11	3	40	7	CC254
449	64	3	79	9	63	6	5	unassigned CC for 449
450	76	5	34	5	5	38	17	CC174
451	78	5	52	13	3	11	9	CC364
452	79	5	7	35	6	88	76	unassigned CC for 452
453	9	5	15	9	3	6	9	CC41/44
454	2	16	12	11	3	60	16	CC254
455	4	10	11	17	6	79	12	CC35
456	43	5	9	76	68	19	15	unassigned CC for 456
457	4	10	11	17	6	10	12	CC35
458	4	10	11	17	6	10	2	CC35
459	14	5	6	3	8	8	16	CC334
460	8	5	15	17	58	8	2	CC865
461	12	5	12	35	60	22	17	CC461
462	13	3	15	40	3	11	9	CC364
463	4	3	5	4	6	3	8	CC32
464	9	6	9	17	9	6	2	CC41/44
465	14	5	6	17	3	8	18	CC334
466	17	5	19	9	3	26	2	CC60
467	4	10	15	9	8	11	13	CC269
468	2	16	12	11	8	39	7	CC254
469	3	6	9	9	9	3	9	CC41/44
470	2	3	6	2	8	5	2	CC8
471	14	5	6	9	3	8	20	CC334
472	4	10	11	9	6	10	12	CC35
473	2	3	15	3	8	4	6	CC11
474	25	10	18	21	8	13	9	CC376
475	8	3	4	3	8	4	6	CC11
476	3	6	15	5	9	6	9	CC41/44
477	3	6	6	5	9	6	9	CC41/44
478	4	10	15	2	8	11	9	CC269
479	4	10	15	17	8	11	17	CC269
480	9	6	9	75	5	6	2	CC41/44
481	2	3	7	2	9	5	2	CC8
482	3	6	9	17	9	6	9	CC41/44
483	7	8	10	17	10	1	2	CC18
484	8	10	5	4	9	3	8	CC32
485	3	6	9	5	8	6	9	CC41/44
486	3	6	2	5	3	6	9	CC41/44
487	2	3	7	9	8	5	2	CC8
488	3	6	9	5	9	2	9	CC41/44
489	9	6	9	9	9	6	15	CC41/44
490	2	3	7	3	8	4	9	CC11
491	2	3	4	3	9	4	6	CC11
492	4	10	2	17	8	11	20	CC269
493	3	6	9	5	9	6	7	CC41/44
494	12	6	9	9	9	8	9	CC41/44
495	14	7	6	9	3	8	7	CC334
496	2	5	18	17	5	24	16	unassigned CC for 496
497	58	3	15	13	9	63	17	unassigned CC for 497
498	9	6	4	74	9	6	9	CC41/44
499	1	3	4	17	1	1	3	CC1
500	6	5	69	13	5	24	17	CC174
501	9	5	6	5	6	8	9	unassigned CC for 501
502	46	20	6	7	58	21	8	unassigned CC for 502
503	70	7	4	56	26	18	8	CC175
504	10	27	6	3	8	18	9	CC226
505	4	27	6	3	8	18	9	CC226
506	11	5	18	17	11	5	21	CC22
507	3	13	4	38	8	18	8	CC92
508	25	5	34	16	8	18	9	unassigned CC for 508
509	13	3	52	13	8	11	9	CC364
510	1	5	6	5	6	8	9	unassigned CC for 510
511	1	5	18	28	41	90	9	CC292
512	1	5	15	55	41	15	9	CC292
513	2	6	9	9	9	11	21	CC41/44
514	2	29	94	26	26	65	9	unassigned CC for 514
515	6	10	18	9	8	6	9	CC376
516	7	8	10	19	10	1	20	CC18
517	8	16	6	11	3	21	7	CC254
518	11	5	18	16	5	24	9	CC22
519	11	5	69	26	5	24	2	unassigned CC for 519
520	13	6	6	13	5	2	18	unassigned CC for 520
521	71	20	35	17	5	15	21	unassigned CC for 521
522	86	7	4	38	8	18	8	CC92
523	1	5	6	40	5	8	8	unassigned CC for 523
524	2	7	12	11	3	18	7	CC254
525	9	6	4	9	9	6	9	CC41/44
526	9	6	85	3	9	86	9	CC41/44
527	9	6	9	9	9	6	79	CC41/44
528	11	18	15	37	5	92	20	unassigned CC for 528
529	12	2	6	5	62	95	2	unassigned CC for 529
530	12	2	4	5	8	21	78	CC37
531	12	42	4	8	13	21	74	unassigned CC for 531
532	25	3	2	16	8	18	9	unassigned CC for 532
533	25	5	18	9	8	18	9	CC376
534	25	5	84	16	8	18	9	unassigned CC for 534
535	25	5	15	16	8	18	9	unassigned CC for 535
536	63	17	25	35	11	21	2	unassigned CC for 536
537	79	5	7	35	6	13	77	unassigned CC for 537
538	85	3	15	13	9	63	17	unassigned CC for 538
539	9	5	9	17	79	6	83	unassigned CC for 539
540	2	3	7	2	8	77	2	CC8
541	9	6	9	16	9	9	2	CC41/44
542	8	5	6	5	1	78	2	unassigned CC for 542
543	14	5	4	9	8	8	16	CC334
544	1	3	52	17	76	63	17	unassigned CC for 544
545	1	3	15	36	9	63	17	unassigned CC for 545
546	1	5	18	3	41	15	97	CC292
547	4	10	2	80	8	21	9	CC269
548	8	5	81	40	3	8	96	unassigned CC for 548
549	8	6	6	68	26	17	2	CC549
550	9	6	9	9	21	6	9	CC41/44
551	12	2	72	13	8	21	95	unassigned CC for 551
552	12	3	73	1	11	65	53	unassigned CC for 552
553	12	7	15	91	8	21	97	unassigned CC for 553
554	13	2	4	90	3	89	9	unassigned CC for 554
555	58	6	52	13	3	11	9	CC364
556	90	5	1	37	76	2	21	unassigned CC for 556
557	57	5	2	9	6	68	12	unassigned CC for 557
558	1	5	18	3	5	6	9	CC292
559	6	6	6	1	26	6	32	unassigned CC for 559
560	4	10	2	40	6	3	8	CC32
561	8	10	2	3	6	3	8	CC32
562	4	10	12	3	6	3	7	CC32
563	2	3	12	2	8	5	2	CC8
564	4	10	11	18	3	74	12	CC35
565	4	10	15	7	8	11	9	CC269
566	5	4	17	104	14	7	12	CC198
567	4	10	2	5	75	11	9	CC269
568	3	5	9	9	9	6	9	CC41/44
569	10	5	93	14	11	9	17	CC23
570	4	10	11	18	6	74	12	CC35
571	9	6	9	9	58	6	16	CC41/44
572	2	7	6	17	9	6	98	CC167
573	2	7	6	40	9	6	8	CC167
574	2	3	4	3	8	3	6	CC11
575	7	5	1	13	82	53	15	CC213
576	4	10	11	18	6	94	12	CC35
577	27	6	9	5	9	6	9	CC41/44
578	2	3	4	1	8	4	6	CC11
579	8	4	6	2	5	18	4	CC103
580	2	1	2	1	3	2	3	CC5
581	1	64	2	1	3	2	3	CC5
582	29	43	87	100	93	46	99	unassigned CC for 582
583	29	43	39	45	65	96	37	CC1494 (lactamica)
584	29	51	42	94	93	44	37	unassigned CC for 584
585	29	52	68	100	103	46	87	unassigned CC for 585
586	32	48	42	47	87	46	39	unassigned CC for 586
587	32	57	100	98	81	46	88	CC624 (lactamica)
588	33	45	48	96	94	46	56	CC613 (lactamica)
589	40	43	39	57	88	42	37	CC1494 (lactamica)
590	40	43	87	95	102	50	63	unassigned CC for 590
591	40	43	48	95	80	50	37	unassigned CC for 591
592	40	43	106	95	101	50	63	unassigned CC for 592
593	40	45	48	45	65	42	37	CC1494 (lactamica)
594	40	45	48	105	84	44	86	unassigned CC for 594
595	40	46	102	89	91	82	82	CC595 (lactamica)
596	40	53	54	45	95	44	43	unassigned CC for 596
597	40	53	104	45	96	50	43	unassigned CC for 597
598	40	53	104	45	94	50	43	unassigned CC for 598
599	40	54	102	89	91	82	82	CC595 (lactamica)
600	74	43	68	108	98	46	91	unassigned CC for 600
601	74	58	68	107	100	100	56	unassigned CC for 601
602	80	43	39	45	86	42	37	CC1494 (lactamica)
603	80	43	48	100	86	44	56	unassigned CC for 603
604	80	43	48	50	91	44	91	unassigned CC for 604
605	80	43	87	100	93	46	99	unassigned CC for 605
606	80	44	48	96	94	46	56	CC613 (lactamica)
607	80	45	99	97	94	44	56	CC613 (lactamica)
608	80	45	98	57	89	44	56	unassigned CC for 608
609	80	45	48	100	86	44	86	unassigned CC for 609
610	80	45	48	101	86	44	92	unassigned CC for 610
611	80	45	48	100	97	44	86	unassigned CC for 611
612	4	10	26	9	6	11	10	CC269
613	80	45	48	96	94	46	56	CC613 (lactamica)
614	80	45	97	100	94	46	56	CC613 (lactamica)
615	80	45	48	106	86	100	91	unassigned CC for 615
616	80	53	104	45	96	50	43	unassigned CC for 616
617	81	37	100	98	81	46	88	CC624 (lactamica)
618	81	47	100	99	81	46	89	CC624 (lactamica)
619	81	47	100	103	81	46	89	CC624 (lactamica)
620	81	47	100	100	81	46	88	CC624 (lactamica)
621	81	47	103	100	81	46	88	CC624 (lactamica)
