ST	abcZ	adk	aroE	fumC	gdh	pdhC	pgm	clonal_complex
1	1	3	1	1	1	1	3	CC1
2	1	3	4	7	1	1	3	CC1
3	1	3	1	1	1	23	13	CC1
4	1	3	3	1	4	2	3	CC4
5	1	1	2	1	3	2	3	CC5
6	1	1	2	1	3	2	11	CC5
7	1	1	2	1	3	2	19	CC5
8	2	3	7	2	8	5	2	CC8
9	2	3	8	10	8	5	2	CC8
10	2	3	4	2	8	15	2	CC8
11	2	3	4	3	8	4	6	CC11
12	4	3	2	16	8	11	20	unassigned CC for 12
13	4	10	15	7	8	11	1	CC269
14	4	1	15	7	8	11	1	CC269
15	13	3	16	1	3	11	9	CC364
16	15	9	9	13	8	19	15	CC4240/6688
17	8	3	13	1	11	12	4	unassigned CC for 17
18	7	8	10	19	10	1	2	CC18
19	7	8	10	19	8	1	2	CC18
20	6	8	10	17	10	1	2	CC18
21	1	5	1	1	2	16	17	unassigned CC for 21
22	11	5	18	8	11	24	21	CC22
23	10	5	18	9	11	9	17	CC23
24	2	5	2	7	15	20	5	CC750
25	6	5	2	12	6	13	14	unassigned CC for 25
26	6	5	2	12	12	10	14	unassigned CC for 26
27	3	5	6	5	7	18	2	unassigned CC for 27
28	13	4	6	17	5	18	2	CC103
29	2	7	6	9	16	18	8	CC167
30	6	5	6	5	1	21	8	unassigned CC for 30
31	14	5	6	2	3	8	18	CC334
32	4	10	5	4	6	3	8	CC32
33	8	10	5	4	6	3	8	CC32
34	8	10	5	4	5	3	8	CC32
35	4	10	11	18	6	10	12	CC35
36	12	7	4	8	5	21	16	unassigned CC for 36
37	12	2	15	5	13	21	10	CC37
38	12	2	15	5	13	17	10	CC37
39	5	4	17	15	14	7	16	CC198
40	3	6	9	5	9	22	9	CC41/44
41	3	6	9	5	9	6	9	CC41/44
42	10	6	9	5	9	6	9	CC41/44
43	12	6	9	9	9	6	9	CC41/44
44	9	6	9	9	9	6	9	CC41/44
45	3	6	9	5	9	6	15	CC41/44
46	3	6	9	5	3	6	9	CC41/44
47	9	6	9	14	9	6	2	CC41/44
48	9	6	14	5	9	5	9	CC41/44
49	2	6	12	11	3	14	7	CC254
50	2	3	19	3	8	4	6	CC11
51	2	3	4	23	8	6	6	CC11
52	7	3	4	3	8	4	6	CC11
53	16	2	6	25	17	25	22	CC53
54	8	13	20	21	3	11	20	unassigned CC for 54
55	4	2	2	20	18	11	9	unassigned CC for 55
56	4	10	2	8	8	11	20	CC269
57	1	3	1	1	1	2	3	CC1
58	1	3	21	7	1	1	3	CC1
59	1	14	1	22	1	23	13	unassigned CC for 59
60	17	5	19	17	3	26	2	CC60
61	17	10	19	17	3	26	2	CC60
62	18	3	22	27	19	27	23	unassigned CC for 62
63	18	5	22	30	19	27	24	unassigned CC for 63
64	19	15	23	29	20	28	25	unassigned CC for 64
65	10	3	24	26	5	29	26	unassigned CC for 65
66	2	3	7	6	8	5	2	CC8
67	2	3	4	24	8	4	6	CC11
68	1	3	4	7	21	1	17	unassigned CC for 68
69	1	3	4	28	1	1	3	CC1
70	1	3	4	7	22	21	3	unassigned CC for 70
71	1	3	10	7	1	1	3	CC1
72	1	3	7	7	1	1	3	CC1
73	1	3	4	7	1	21	3	CC1
74	4	10	5	4	5	3	2	CC32
75	2	3	25	1	1	1	3	CC1
76	2	3	1	17	1	1	3	CC1
77	2	3	1	1	1	1	3	CC1
78	2	3	25	1	1	1	17	CC1
79	12	5	6	26	9	22	8	unassigned CC for 79
80	1	3	15	31	4	2	3	CC4
81	1	3	15	13	9	18	17	unassigned CC for 81
82	2	2	12	43	3	37	7	CC254
83	2	2	31	11	13	21	16	CC231
84	2	5	9	37	8	18	21	CC92
85	2	5	9	36	9	6	18	unassigned CC for 85
86	2	18	6	40	26	6	1	unassigned CC for 86
87	2	18	15	1	24	11	10	unassigned CC for 87
88	2	18	27	38	24	11	21	unassigned CC for 88
89	2	18	27	38	24	11	10	unassigned CC for 89
90	2	18	27	37	24	11	10	unassigned CC for 90
91	3	5	4	37	8	18	21	CC92
92	3	7	4	37	8	18	21	CC92
93	3	7	4	17	8	18	29	CC92
94	3	7	4	35	8	18	2	CC92
95	3	7	31	35	8	18	2	CC92
96	4	10	2	16	8	11	20	CC269
97	4	20	30	9	8	20	12	unassigned CC for 97
98	4	20	31	9	8	20	12	unassigned CC for 98
99	6	5	7	17	21	24	17	CC174
100	6	6	9	1	26	36	32	unassigned CC for 100
101	6	6	9	1	26	6	32	unassigned CC for 101
102	7	5	10	19	29	1	2	CC18
103	8	4	6	17	5	18	2	CC103
104	8	5	6	42	5	17	2	CC549
105	8	6	6	3	26	17	2	CC549
106	8	16	4	33	10	24	27	CC106
107	9	2	9	41	27	24	20	unassigned CC for 107
108	9	6	4	9	6	6	7	CC41/44
109	9	6	4	9	28	6	9	CC41/44
110	9	6	9	9	9	6	17	CC41/44
111	9	6	29	9	9	6	17	CC41/44
112	9	7	9	9	9	33	8	CC41/44
113	11	5	18	17	5	24	9	CC22
114	11	5	18	17	11	24	21	CC22
115	12	2	4	26	13	21	16	CC231
116	12	5	15	32	21	13	8	CC116
117	12	8	15	26	10	1	16	unassigned CC for 117
118	12	10	5	35	6	3	8	CC32
119	12	16	4	33	10	24	27	CC106
120	12	17	6	39	9	22	8	unassigned CC for 120
121	12	17	26	34	23	34	28	unassigned CC for 121
122	16	2	6	25	8	25	22	CC53
123	16	2	6	25	17	11	22	CC53
124	16	2	6	25	13	25	22	CC53
125	20	5	7	35	6	30	12	unassigned CC for 125
126	20	6	28	17	21	13	30	unassigned CC for 126
127	21	18	6	37	5	31	17	unassigned CC for 127
128	21	21	2	35	8	13	13	unassigned CC for 128
129	22	7	4	37	8	18	21	CC92
130	23	5	9	3	13	32	8	unassigned CC for 130
131	24	8	6	19	25	35	2	unassigned CC for 131
132	24	8	10	19	25	35	33	unassigned CC for 132
133	25	5	4	35	21	13	8	CC116
134	25	19	18	16	8	18	31	unassigned CC for 134
135	26	10	4	13	9	22	34	unassigned CC for 135
136	27	6	9	3	9	6	16	CC41/44
137	41	6	9	9	9	6	9	CC41/44
138	12	5	18	44	8	10	12	unassigned CC for 138
139	2	2	31	40	13	21	16	CC231
140	21	18	6	37	5	31	35	unassigned CC for 140
141	12	3	18	3	11	15	9	CC292
142	9	6	9	13	9	6	9	CC41/44
143	25	10	4	26	9	22	8	unassigned CC for 143
144	7	17	32	5	10	11	2	unassigned CC for 144
145	7	8	10	26	10	1	16	CC18
146	8	6	9	9	9	6	9	CC41/44
147	12	17	33	39	9	22	2	unassigned CC for 147
148	12	5	15	32	21	6	8	CC116
149	8	16	4	8	10	24	27	CC106
150	9	6	9	9	9	18	32	CC41/44
151	2	20	35	17	9	15	21	unassigned CC for 151
152	12	6	4	32	9	18	16	unassigned CC for 152
153	2	3	7	2	34	5	2	CC8
154	3	6	9	5	11	6	9	CC41/44
155	3	6	9	9	11	6	9	CC41/44
156	12	6	15	5	5	21	20	CC37
157	38	6	9	3	9	6	6	CC41/44
158	10	6	12	5	9	6	9	CC41/44
159	3	10	9	5	9	6	9	CC41/44
160	4	3	11	18	6	10	12	CC35
161	8	7	6	17	26	18	2	CC103
162	1	5	13	53	26	41	3	CC162
163	12	2	9	9	9	54	10	unassigned CC for 163
164	39	16	9	9	5	11	44	unassigned CC for 164
165	2	3	4	48	8	4	6	CC11
166	2	3	6	3	3	58	6	CC11
167	2	7	6	17	16	18	8	CC167
168	2	16	6	17	9	18	8	CC167
169	2	16	34	17	5	38	17	unassigned CC for 169
170	3	6	9	60	9	6	9	CC41/44
171	3	7	4	37	43	18	21	CC92
172	3	20	4	37	43	11	21	CC92
173	6	2	34	13	5	24	17	CC174
174	6	5	34	13	5	24	17	CC174
175	6	7	4	56	26	18	8	CC175
176	7	5	9	17	32	17	2	unassigned CC for 176
177	7	8	10	38	10	1	20	CC18
178	7	16	55	10	3	56	46	CC178
179	9	6	9	9	9	6	47	CC41/44
180	9	6	9	9	9	6	2	CC41/44
181	10	3	15	7	5	41	31	CC181
182	10	3	15	26	5	41	31	CC181
183	10	5	18	59	11	9	17	CC23
184	11	5	18	8	11	4	21	CC22
185	12	5	34	17	5	38	17	CC174
186	12	6	9	21	9	6	9	CC41/44
187	1	6	50	38	35	6	9	unassigned CC for 187
188	13	16	55	10	9	56	46	CC178
189	14	5	6	9	3	8	16	CC334
190	25	16	18	44	8	13	46	unassigned CC for 190
191	28	6	9	24	9	6	9	CC41/44
192	35	24	15	48	6	48	41	CC192
